f1_id,f2_id,f1_name,f2_name,weight_class,f1_knockdowns,f2_knockdowns,f1_sig_strike_atts,f2_sig_strike_atts,f1_sig_strikes,f2_sig_strikes,f1_tot_strike_atts,f2_tot_strike_atts,f1_tot_strikes,f2_tot_strikes,f1_takedown_atts,f2_takedown_atts,f1_takedowns,f2_takedowns,f1_submissions,f2_submissions,f1_reversals,f2_reversals,f1_ctrl_time,f2_ctrl_time,f1_head_strike_atts,f2_head_strike_atts,f1_head_strikes,f2_head_strikes,f1_body_strike_atts,f2_body_strike_atts,f1_body_strikes,f2_body_strikes,f1_leg_strike_atts,f2_leg_strike_atts,f1_leg_strikes,f2_leg_strikes,f1_dist_strike_atts,f2_dist_strike_atts,f1_dist_strikes,f2_dist_strikes,f1_clinch_atts,f2_clinch_atts,f1_clinchs,f2_clinchs,f1_ground_atts,f2_ground_atts,f1_grounds,f2_grounds,f1_total_fight_time,f2_total_fight_time,result,fights_url,event_url
1031,1172,Evan Elder,Darrius Flowers,Welterweight Bout,0,0,86,60,45,24,104,65,61,26,1,2,0,1,1,0,1,1,121.0,28.0,51,37,17,12,33,13,27,5,2,10,1,7,60,56,29,21,5,4,3,3,21,0,13,0,406,406,1031,http://www.ufcstats.com/fight-details/25747d81ae5c6564,http://www.ufcstats.com/event-details/66e0a70352fef46a
493,648,Mayra Bueno Silva,Macy Chiasson,Women's Bantamweight Bout,0,0,59,85,46,50,66,99,53,64,4,1,0,1,0,0,0,0,79.0,108.0,34,59,24,27,22,16,20,13,3,10,2,10,32,52,21,22,25,23,23,18,2,10,2,10,418,418,648,http://www.ufcstats.com/fight-details/a571c622ab89b3d9,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3571,938,Anthony Smith,Roman Dolidze,Light Heavyweight Bout,0,0,93,185,51,100,93,188,51,103,0,3,0,1,0,0,0,0,0.0,213.0,67,135,27,61,4,16,4,12,22,34,20,27,93,132,51,65,0,4,0,3,0,49,0,32,900,900,938,http://www.ufcstats.com/fight-details/bf878c083a6b30ad,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3045,270,Joe Pyfer,Marc-Andre Barriault,Middleweight Bout,1,0,10,5,8,0,10,5,8,0,0,0,0,0,0,0,0,0,0.0,0.0,5,3,4,0,2,1,1,0,3,1,3,0,9,5,7,0,0,0,0,0,1,0,1,0,85,85,3045,http://www.ufcstats.com/fight-details/daa6b47be304ec86,http://www.ufcstats.com/event-details/f3743d8ef5dde970
1832,3502,Charles Jourdain,Jean Silva,Featherweight Bout,0,2,46,55,23,34,48,56,24,35,7,0,3,0,0,0,0,0,77.0,9.0,26,47,6,26,14,7,11,7,6,1,6,1,39,31,17,14,5,19,5,16,2,5,1,4,382,382,3502,http://www.ufcstats.com/fight-details/2b7883b304b3df1c,http://www.ufcstats.com/event-details/f3743d8ef5dde970
2232,2839,Ian Machado Garry,Michael Page,Welterweight Bout,0,0,39,38,19,21,101,74,65,52,5,0,2,0,2,0,0,0,449.0,112.0,26,28,12,15,7,5,3,4,6,5,4,2,25,34,9,19,7,1,5,0,7,3,5,2,900,900,2232,http://www.ufcstats.com/fight-details/fbf77262d8da342b,http://www.ufcstats.com/event-details/f3743d8ef5dde970
1686,2180,Dan Ige,Diego Lopes,Catch Weight Bout,0,0,77,100,42,49,103,143,67,90,1,3,0,1,0,1,0,0,99.0,246.0,67,74,34,32,5,14,4,8,5,12,4,9,53,85,24,38,4,14,3,10,20,1,15,1,900,900,2180,http://www.ufcstats.com/fight-details/fc8ad0c7fc70dde7,http://www.ufcstats.com/event-details/f3743d8ef5dde970
4038,3190,Michelle Waterson-Gomez,Gillian Robertson,Women's Strawweight Bout,0,0,52,105,21,77,75,156,41,122,1,6,1,2,0,2,0,0,19.0,754.0,48,94,19,67,3,9,1,9,1,2,1,1,37,24,9,10,4,0,3,0,11,81,9,67,900,900,3190,http://www.ufcstats.com/fight-details/2517029ff9c1a1a2,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3751,1293,Payton Talbott,Yanis Ghemmouri,Bantamweight Bout,1,0,13,2,13,1,13,2,13,1,0,0,0,0,0,0,0,0,1.0,0.0,12,1,12,0,0,0,0,0,1,1,1,1,4,2,4,1,0,0,0,0,9,0,9,0,19,19,3751,http://www.ufcstats.com/fight-details/5f8a92f10e5451ce,http://www.ufcstats.com/event-details/f3743d8ef5dde970
2931,3030,Alex Pereira,Jiri Prochazka,UFC Light Heavyweight Title Bout,2,0,50,25,38,7,61,25,49,7,0,0,0,0,0,0,0,0,3.0,71.0,32,20,21,4,9,4,8,2,9,1,9,1,31,24,21,6,7,1,7,1,12,0,10,0,313,313,2931,http://www.ufcstats.com/fight-details/bca5d01f8775f852,http://www.ufcstats.com/event-details/f3743d8ef5dde970
