f1_id,f2_id,f1_name,f2_name,weight_class,f1_knockdowns,f2_knockdowns,f1_sig_strike_atts,f1_sig_strikes,f2_sig_strike_atts,f2_sig_strikes,f1_tot_strike_atts,f1_tot_strikes,f2_tot_strike_atts,f2_tot_strikes,f1_takedown_atts,f1_takedowns,f2_takedown_atts,f2_takedowns,f1_submissions,f2_submissions,f1_reversals,f2_reversals,f1_ctrl_time,f2_ctrl_time,f1_head_strike_atts,f1_head_strikes,f2_head_strike_atts,f2_head_strikes,f1_body_strike_atts,f1_body_strikes,f2_body_strike_atts,f2_body_strikes,f1_leg_strike_atts,f1_leg_strikes,f2_leg_strike_atts,f2_leg_strikes,f1_dist_strike_atts,f1_dist_strikes,f2_dist_strike_atts,f2_dist_strikes,f1_clinch_atts,f1_clinchs,f2_clinch_atts,f2_clinchs,f1_ground_atts,f1_grounds,f2_ground_atts,f2_grounds,result,fights_url,event_url
998,3516,Cody Durden,Bruno Silva,Flyweight,0,1,63,28,73,42,68,31,77,45,1,1,2,0,3,0,0,0,155,23,52,20,57,31,7,5,10,6,4,3,6,5,62,27,51,24,1,1,1,1,0,0,21,17,3516,http://www.ufcstats.com/fight-details/94541dd979e0b4bd,http://www.ufcstats.com/event-details/c11036da9162cb5f
2095,121,JeongYeong Lee,Hyder Amil,Featherweight,0,0,10,4,63,42,10,4,63,42,0,0,0,0,0,0,0,0,4,0,9,3,54,37,1,1,3,2,0,0,6,3,10,4,63,42,0,0,0,0,0,0,0,0,121,http://www.ufcstats.com/fight-details/6e6567a98ea78891,http://www.ufcstats.com/event-details/c11036da9162cb5f
655,73,Dooho Choi,Bill Algeo,Featherweight,0,0,35,21,49,17,47,32,74,38,3,2,3,2,3,0,0,1,93,189,28,15,36,11,3,3,5,3,4,3,8,3,30,17,45,14,4,3,2,2,1,1,2,1,655,http://www.ufcstats.com/fight-details/ec8bc554a0646638,http://www.ufcstats.com/event-details/c11036da9162cb5f
3064,2766,Loik Radzhabov,Trey Ogden,Lightweight,0,0,86,42,47,24,157,97,148,116,0,0,5,4,0,2,0,0,96,587,78,38,35,14,6,2,5,5,2,2,7,5,56,23,44,21,1,1,2,2,29,18,1,1,2766,http://www.ufcstats.com/fight-details/b3f1253d0a991791,http://www.ufcstats.com/event-details/c11036da9162cb5f
586,3035,Luana Carolina,Lucie Pudilova,Flyweight,0,0,167,94,114,43,199,114,145,62,1,0,4,2,0,0,0,0,41,125,101,45,86,25,35,23,23,16,31,26,5,2,142,73,93,27,25,21,21,16,0,0,0,0,586,http://www.ufcstats.com/fight-details/c3ef9edf73626521,http://www.ufcstats.com/event-details/c11036da9162cb5f
1270,656,Steve Garcia,SeungWoo Choi,Featherweight,1,0,27,15,15,9,34,18,16,9,1,0,0,0,0,0,0,0,37,0,19,10,13,7,5,2,0,0,3,3,2,2,19,9,15,9,2,1,0,0,6,5,0,0,1270,http://www.ufcstats.com/fight-details/120ec60ad18cf6c5,http://www.ufcstats.com/event-details/c11036da9162cb5f
3903,2953,Mohammed Usman,Thomas Petersen,Heavyweight,0,0,185,63,138,76,185,63,164,98,1,0,5,2,0,0,0,0,0,61,151,44,117,58,33,19,16,13,1,0,5,5,181,61,134,72,4,2,3,3,0,0,1,1,2953,http://www.ufcstats.com/fight-details/836e9bc5c1f6acd3,http://www.ufcstats.com/event-details/c11036da9162cb5f
2105,1742,Amanda Lemos,Virna Jandiroba,Strawweight,0,0,9,2,8,2,12,5,27,20,0,0,5,1,1,4,1,1,51,387,8,2,7,2,0,0,0,0,1,0,1,0,8,1,8,2,0,0,0,0,1,1,0,0,1742,http://www.ufcstats.com/fight-details/4a00db8aeff200a2,http://www.ufcstats.com/event-details/c11036da9162cb5f
1622,1994,Kurt Holobaugh,Kaynan Kruschewsky,Lightweight,0,0,171,92,156,89,275,171,195,115,4,1,3,3,0,2,1,0,321,167,131,58,120,61,30,25,35,27,10,9,1,1,141,74,114,53,30,18,33,28,0,0,9,8,1622,http://www.ufcstats.com/fight-details/9eaa33f874bbb999,http://www.ufcstats.com/event-details/c11036da9162cb5f
1895,1302,Brian Kelleher,Cody Gibson,Bantamweight,0,0,12,2,24,13,13,2,30,18,0,0,5,2,0,1,0,0,5,158,8,0,19,9,1,0,3,2,3,2,2,2,12,2,18,10,0,0,5,3,0,0,1,0,1302,http://www.ufcstats.com/fight-details/40c18c6d64463809,http://www.ufcstats.com/event-details/c11036da9162cb5f
