fighter_id,fighter_name,fighter_dob,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_wins,fighter_losses,fighter_draws,fighter_slpm,fighter_str_acc_%,fighter_sapm,fighter_str_def_%,fighter_td_avg,fighter_td_acc_%,fighter_td_def_%,fighter_sub_avg,fighter_url,avg_knockdowns,avg_sig_strike_atts,avg_sig_strikes,avg_tot_strike_atts,avg_tot_strikes,avg_takedown_atts,avg_takedowns,avg_clinch_atts,avg_clinchs,avg_ctrl_time,avg_submissions,avg_reversals,avg_head_strike_atts,avg_head_strike,avg_body_strike_atts,avg_body_strikes,avg_leg_strike_atts,avg_leg_strikes,avg_dist_strike_atts,avg_dist_strikes,avg_ground_atts,avg_grounds
1,Tom Aaron,1978-07-13,,155.0,,,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Danny Abbadi,1983-07-03,180.34,155.0,,Orthodox,4,6,0,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,0.0,77.5,29.5,92.5,42.5,0.0,0.0,11.5,7.0,0.12222222222222222,0.0,0.0,72.5,25.5,5.0,4.0,0.0,0.0,63.5,21.0,2.0,1.5
3,Nariman Abbasov,1994-02-01,172.72,155.0,167.64,Orthodox,28,4,0,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,http://www.ufcstats.com/fighter-details/59a9d6dac61c2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,David Abbott,,182.88,265.0,,Switch,10,15,0,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,http://www.ufcstats.com/fighter-details/b361180739bed4b0,0.0,18.5,8.625,33.75,22.375,1.0,0.75,4.375,2.375,0,0.25,0.0,17.625,7.75,0.25,0.25,0.625,0.625,7.125,3.0,6.0,3.25
5,Hamdy Abdelwahab,1993-01-22,187.96,264.0,182.88,Southpaw,5,0,0,3.87,0.52,3.13,0.59,3.0,0.75,0.0,0.0,http://www.ufcstats.com/fighter-details/3329d692aea4dc28,1.0,110.0,58.0,164.0,106.0,4.0,3.0,5.0,2.0,0.44,0.0,0.0,102.0,51.0,6.0,5.0,2.0,2.0,74.0,30.0,33.0,26.0
6,Mansur Abdul-Malik,1997-10-07,,185.0,,,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/841695e02c99a521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Shamil Abdurakhimov,1981-09-02,190.5,235.0,193.04,Orthodox,20,8,0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,0.0,54.72727272727273,22.90909090909091,61.18181818181818,27.818181818181817,2.272727272727273,0.8181818181818182,7.636363636363637,4.0,0.595777777777778,0.0,0.0,42.18181818181818,13.363636363636363,6.363636363636363,4.545454545454546,6.181818181818182,5.0,39.81818181818182,14.0,7.2727272727272725,4.909090909090909
8,Hiroyuki Abe,,167.64,145.0,,Orthodox,8,15,3,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Daichi Abe,1991-11-27,180.34,170.0,180.34,Orthodox,6,2,0,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,http://www.ufcstats.com/fighter-details/5140122c3eecd307,0.3333333333333333,169.33333333333334,57.0,171.66666666666666,58.333333333333336,0.6666666666666666,0.3333333333333333,4.333333333333333,3.6666666666666665,0.024444444444444446,0.0,0.0,134.66666666666666,34.0,9.0,4.0,25.666666666666668,19.0,156.66666666666666,48.666666666666664,6.0,4.666666666666667
10,Papy Abedi,1978-06-30,180.34,185.0,,Southpaw,10,4,0,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,0.25,45.75,27.0,56.0,36.25,3.5,2.0,10.5,7.5,0.8833333333333333,1.0,0.0,26.75,12.5,13.25,11.25,5.75,3.25,23.25,9.75,13.0,9.75
